Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.650391,-0.11377,-0.540283,-66.894531,295.532227,55.786129
0.585815,-0.169189,-0.659424,-47.668453,284.362793,74.584961
0.53479,-0.142456,-0.788818,-6.103515,218.627914,100.524895
0.683716,-0.005249,-1.058105,22.15576,127.80761,111.022942
0.904175,-0.008789,-1.354004,34.729004,33.935547,141.845703
0.803223,0.055176,-1.224731,72.265625,-63.354488,189.819321
0.68042,0.136597,-1.119141,127.80761,-218.261703,197.631821
0.726196,0.275757,-0.860352,169.311508,-325.073212,183.65477
0.874146,0.565186,-0.483398,172.05809,-291.564941,136.84082
1.039673,0.605347,-0.644287,159.545898,-267.028809,69.946289
0.922241,0.518433,-0.614746,210.327133,-363.159149,25.207518
0.774658,0.476074,-0.174805,299.194336,-458.984344,10.986327
0.68689,0.408447,0.103149,346.557587,-477.966278,15.624999
0.604004,0.234131,0.06665,343.87204,-478.271454,28.07617
0.484131,0.157959,0.303589,305.908203,-479.309052,27.404783
0.386108,0.134888,0.580688,268.371582,-453.979462,21.789549
0.342651,0.161011,0.786499,223.449692,-420.898407,6.103515
0.326294,0.28479,1.120361,132.446289,-343.017548,-58.1665
0.1427,0.204468,1.141235,81.787102,-286.254883,-112.42675
-0.031494,0.015869,1.119507,117.553703,-255.187973,-71.472168
0.090942,0.186646,1.383423,112.915031,-152.038574,-47.363277
0.139038,0.293213,1.347412,83.496086,-67.871094,-87.09716
0.067749,0.234497,1.267944,84.533684,-47.973629,-102.72216
0.033203,0.120605,1.256836,93.261711,-23.254393,-121.582024
-0.012695,0.007568,1.236938,83.557121,23.437498,-124.328606
-0.088745,-0.102173,1.260742,54.626461,89.782707,-128.051758
-0.09436,-0.125732,1.327881,24.04785,158.02002,-128.295898
-0.063843,-0.168579,1.239258,1.464844,240.661606,-128.479004
-0.045288,-0.222168,1.131714,-19.287109,295.471191,-124.26757
0.059204,-0.207764,1.130981,-36.437988,319.580078,-122.924797
0.14917,-0.2229,1.063354,-36.315918,343.749969,-119.873039
0.237793,-0.270752,0.875122,-26.550291,359.863251,-105.163567
0.369751,-0.292847,0.771484,-17.456055,378.784149,-85.876457
0.502197,-0.341553,0.4823,-19.470215,403.320282,-65.307617
